# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 373K of event 'cycles:u'
# Event count (approx.): 66607604108
#
# Overhead  Command   Shared Object       Symbol                          
# ........  ........  ..................  ................................
#
    74.99%  n_queens  n_queens            [.] isSafe
    13.56%  n_queens  n_queens            [.] nQueens
     3.43%  n_queens  libgomp.so.1.0.0    [.] GOMP_task
     2.39%  n_queens  n_queens            [.] nQueens._omp_fn.0
     2.13%  n_queens  libc-2.31.so        [.] __memmove_avx_unaligned_erms
     1.67%  n_queens  n_queens            [.] nQueens._omp_cpyfn.1
     0.69%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9f0
     0.12%  n_queens  libgomp.so.1.0.0    [.] GOMP_taskgroup_end
     0.09%  n_queens  n_queens            [.] 0x00000000000011a4
     0.09%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d130
     0.08%  n_queens  libc-2.31.so        [.] malloc
     0.08%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d2e8
     0.08%  n_queens  libc-2.31.so        [.] _int_malloc
     0.07%  n_queens  [unknown]           [k] 0xffffffff82a00ae7
     0.06%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9fb
     0.06%  n_queens  n_queens            [.] 0x00000000000011c4
     0.06%  n_queens  libc-2.31.so        [.] _int_free
     0.05%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9f2
     0.04%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013bc0
     0.04%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001ca05
     0.02%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b77
     0.02%  n_queens  [unknown]           [k] 0xffffffff82a00163
     0.02%  n_queens  n_queens            [.] 0x00000000000011a0
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9f6
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d265
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014815
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013bd8
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001ca00
     0.01%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001cef0
     0.01%  n_queens  n_queens            [.] 0x00000000000011c0
     0.00%  n_queens  libc-2.31.so        [.] cfree@GLIBC_2.2.5
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9fd
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d2ea
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d132
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d26b
     0.00%  n_queens  libgomp.so.1.0.0    [.] malloc@plt
     0.00%  n_queens  libc-2.31.so        [.] __lll_lock_wait_private
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001ca02
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000156f7
     0.00%  n_queens  libc-2.31.so        [.] unlink_chunk.isra.0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d13b
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000000c240
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d2f3
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148b8
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001489e
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013bd4
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001576c
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9b0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d136
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9dc
